epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
107,11076.7,0.47614,0.32856,0.83757,0.8415,0.7422,0.78882,0.52232,1.00861,0.49235,1.07013,0.0003755,0.0003755,0.0003755
108,11170.9,0.471,0.32295,0.83417,0.86767,0.74431,0.79143,0.50908,1.00873,0.46246,1.06777,0.00036725,0.00036725,0.00036725
109,11268,0.47537,0.32979,0.83616,0.82595,0.76378,0.80141,0.52025,0.9902,0.4823,1.04349,0.000359,0.000359,0.000359
110,11372,0.47779,0.32893,0.83327,0.79929,0.74944,0.78906,0.51257,1.02093,0.50738,1.06529,0.00035075,0.00035075,0.00035075
111,11463,0.47355,0.32273,0.83485,0.82141,0.79313,0.82473,0.52038,0.98985,0.46372,1.04887,0.0003425,0.0003425,0.0003425
112,11573.5,0.47061,0.31619,0.83714,0.84336,0.77628,0.82205,0.52205,1.01495,0.49393,1.08839,0.00033425,0.00033425,0.00033425
113,11670,0.46445,0.31784,0.83222,0.83647,0.79479,0.80945,0.51081,1.04025,0.50691,1.0823,0.000326,0.000326,0.000326
114,11758.4,0.45225,0.31099,0.82891,0.78699,0.79464,0.82703,0.53436,0.99732,0.45632,1.04393,0.00031775,0.00031775,0.00031775
115,11857.5,0.46691,0.32124,0.83514,0.86477,0.73881,0.83635,0.54737,0.99853,0.46299,1.04869,0.0003095,0.0003095,0.0003095
116,11966.1,0.46293,0.32215,0.83106,0.89313,0.76626,0.83322,0.53187,0.98547,0.46232,1.03714,0.00030125,0.00030125,0.00030125
117,12049.7,0.45149,0.30871,0.83241,0.85663,0.71183,0.8284,0.54184,0.98148,0.46502,1.04075,0.000293,0.000293,0.000293
118,12146.8,0.47109,0.32035,0.83276,0.92132,0.74801,0.81163,0.54138,1.00815,0.47411,1.07427,0.00028475,0.00028475,0.00028475
119,12226,0.4508,0.3037,0.8283,0.86511,0.74307,0.823,0.53315,1.005,0.47033,1.07756,0.0002765,0.0002765,0.0002765
120,12309.6,0.44967,0.30697,0.83086,0.87436,0.75863,0.80543,0.53616,0.99822,0.49242,1.08444,0.00026825,0.00026825,0.00026825
121,12400.2,0.44949,0.30715,0.82897,0.83046,0.78773,0.81289,0.52688,1.0055,0.48532,1.0794,0.00026,0.00026,0.00026
122,12480.5,0.43846,0.30414,0.83164,0.92044,0.72754,0.82139,0.54111,1.00937,0.49332,1.06938,0.00025175,0.00025175,0.00025175
123,12567.5,0.4405,0.30436,0.82579,0.88695,0.74593,0.81361,0.53402,1.02452,0.47235,1.07204,0.0002435,0.0002435,0.0002435
124,12668.5,0.44672,0.30492,0.83096,0.87916,0.72819,0.80429,0.52205,1.00036,0.50939,1.03456,0.00023525,0.00023525,0.00023525
125,12751.8,0.44703,0.3039,0.82571,0.89177,0.70039,0.78857,0.51,1.02691,0.48162,1.03892,0.000227,0.000227,0.000227
126,12842.2,0.44122,0.3023,0.82525,0.86821,0.72553,0.83479,0.53993,1.022,0.49205,1.05644,0.00021875,0.00021875,0.00021875
127,12944.2,0.4385,0.2988,0.82673,0.85132,0.75282,0.81761,0.51166,1.00892,0.46621,1.04848,0.0002105,0.0002105,0.0002105
128,13024.2,0.43521,0.29676,0.82606,0.92017,0.72976,0.79126,0.53409,0.99474,0.47672,1.04019,0.00020225,0.00020225,0.00020225
129,13126,0.42744,0.29631,0.82415,0.92131,0.69913,0.78908,0.53182,1.03353,0.48585,1.0632,0.000194,0.000194,0.000194
130,13232.1,0.4327,0.29369,0.82359,0.85398,0.74647,0.80372,0.52514,1.01607,0.4668,1.04935,0.00018575,0.00018575,0.00018575
131,13325.6,0.42584,0.29276,0.82419,0.91346,0.6989,0.78574,0.51188,1.01785,0.48293,1.06027,0.0001775,0.0001775,0.0001775
132,13408.9,0.41782,0.28795,0.82189,0.88255,0.69351,0.79947,0.52423,1.01411,0.50605,1.05768,0.00016925,0.00016925,0.00016925
133,13503.6,0.42675,0.28926,0.82489,0.86403,0.78795,0.81784,0.52183,1.02092,0.50548,1.06022,0.000161,0.000161,0.000161
134,13592.8,0.42002,0.28263,0.82212,0.89797,0.73436,0.80132,0.51843,1.0054,0.47237,1.05766,0.00015275,0.00015275,0.00015275
135,13696.5,0.41516,0.2882,0.82116,0.88449,0.7422,0.78469,0.50032,1.01061,0.48559,1.0546,0.0001445,0.0001445,0.0001445
136,13807.2,0.41776,0.28297,0.82105,0.8759,0.75311,0.79229,0.50532,1.00891,0.48007,1.05135,0.00013625,0.00013625,0.00013625
137,13897.6,0.40571,0.27532,0.81777,0.87909,0.75267,0.8146,0.5309,1.02018,0.50921,1.0574,0.000128,0.000128,0.000128
138,13983.6,0.41084,0.27971,0.8178,0.88164,0.79291,0.83017,0.54241,1.0207,0.48918,1.04461,0.00011975,0.00011975,0.00011975
139,14085.6,0.40765,0.27998,0.8195,0.84514,0.75987,0.81757,0.53521,0.99973,0.49369,1.03705,0.0001115,0.0001115,0.0001115
140,14176.2,0.40589,0.27727,0.82019,0.89722,0.75248,0.81976,0.54098,1.00288,0.49,1.03908,0.00010325,0.00010325,0.00010325
141,14356.7,0.38276,0.26873,0.81079,0.80835,0.7712,0.80193,0.53765,1.01919,0.46101,1.04101,9.5e-05,9.5e-05,9.5e-05
142,14462.8,0.37473,0.26034,0.80797,0.91019,0.73374,0.8189,0.54481,1.01307,0.48348,1.03779,8.675e-05,8.675e-05,8.675e-05
143,14559.2,0.37192,0.25257,0.80961,0.87423,0.77907,0.81903,0.5347,1.01239,0.50856,1.0473,7.85e-05,7.85e-05,7.85e-05
144,14638.3,0.37146,0.25133,0.80958,0.80423,0.78216,0.81829,0.52764,0.99451,0.52835,1.04363,7.025e-05,7.025e-05,7.025e-05
145,14724,0.36605,0.25004,0.81006,0.82545,0.78449,0.81282,0.53174,1.01024,0.49353,1.0549,6.2e-05,6.2e-05,6.2e-05
